HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright;TStamp2;ExpTime2;AnG2;DiG2;Lux2;RedG2;BlueG2;Bright2
15h21m14s;48.41940;-4.46934;1002.2;18.7;1067;1643;1057;;;;68.85;0.0;2188243603000;1303;1.0;1.0;2391.1;1.3;1.8;0.0;2188248425000;1273;1.0;1.0;2569.7;1.3;1.8;0.0
15h21m15s;48.41940;-4.46934;1002.7;18.7;1069;1647;1059;;;;74.90;1.1;2189285099000;1303;1.0;1.0;2398.2;1.3;1.8;0.0;2189289917000;1273;1.0;1.0;2578.4;1.3;1.8;0.0
15h21m16s;48.41940;-4.46934;1002.4;18.7;1074;1653;1062;;;;74.90;2.1;2190326597000;1303;1.0;1.0;2405.3;1.3;1.8;0.0;2190331407000;1273;1.0;1.0;2584.5;1.3;1.8;0.0
15h21m17s;48.41939;-4.46934;1002.4;18.8;1080;1662;1070;;;;76.55;3.2;2191409753000;1288;1.0;1.0;2419.4;1.3;1.8;0.0;2191414555000;1273;1.0;1.0;2598.7;1.3;1.8;0.0
15h21m18s;48.41939;-4.46934;1002.7;18.8;1086;1675;1077;;;;77.10;4.2;2192451248000;1288;1.0;1.0;2432.8;1.3;1.8;0.0;2192456045000;1258;1.0;1.0;2613.0;1.3;1.8;0.0
15h21m19s;48.41939;-4.46934;1002.2;18.8;1093;1684;1082;;;;77.10;5.3;2193492744000;1288;1.0;1.0;2451.0;1.3;1.8;0.0;2193497534000;1258;1.0;1.0;2631.7;1.3;1.8;0.0
15h21m20s;48.41939;-4.46934;1002.4;18.8;1090;1684;1084;;;;77.10;6.3;2194534241000;1288;1.0;1.0;2451.6;1.3;1.8;0.0;2194539025000;1243;1.0;1.0;2632.6;1.3;1.8;0.0
15h21m21s;48.41938;-4.46934;1002.3;18.8;1079;1669;1074;;;;79.30;7.3;2195575739000;1288;1.0;1.0;2442.4;1.3;1.8;0.0;2195580515000;1243;1.0;1.0;2623.2;1.3;1.8;0.0
15h21m22s;48.41938;-4.46934;1002.5;18.8;1071;1651;1066;;;;78.20;8.4;2196617236000;1288;1.0;1.0;2427.7;1.3;1.8;0.0;2196622006000;1243;1.0;1.0;2603.6;1.3;1.8;0.0
15h21m23s;48.41938;-4.46935;1002.4;18.8;1055;1632;1054;;;;78.75;9.4;2197658731000;1288;1.0;1.0;2399.0;1.3;1.8;0.0;2197663495000;1243;1.0;1.0;2571.9;1.3;1.8;0.0
15h21m24s;48.41938;-4.46935;1002.8;18.8;1055;1632;1050;;;;79.30;9.6;2197783712000;1288;1.0;1.0;2393.0;1.3;1.8;0.0;2197788476000;1243;1.0;1.0;2568.3;1.3;1.8;0.0
15h21m25s;48.41938;-4.46935;1002.6;18.8;1043;1607;1038;;;;77.10;10.6;2198825207000;1288;1.0;1.0;2369.1;1.3;1.8;0.0;2198829964000;1243;1.0;1.0;2542.9;1.3;1.8;0.0
15h21m26s;48.41937;-4.46935;1002.5;18.8;1033;1595;1029;;;;79.30;11.6;2199908366000;1288;1.0;1.0;2351.4;1.3;1.8;0.0;2199871454000;1258;1.0;1.0;2522.2;1.3;1.8;0.0
15h21m27s;48.41937;-4.46935;1002.6;18.8;1034;1595;1027;;;;79.30;12.7;2200949860000;1303;1.0;1.0;2331.5;1.3;1.8;0.0;2200954604000;1273;1.0;1.0;2501.1;1.3;1.8;0.0
15h21m28s;48.41937;-4.46935;1002.1;18.8;1031;1590;1023;;;;78.20;13.8;2201991360000;1303;1.0;1.0;2317.3;1.3;1.8;0.0;2201996095000;1273;1.0;1.0;2489.4;1.3;1.8;0.0
15h21m29s;48.41937;-4.46935;1002.5;18.8;1027;1581;1019;;;;79.85;14.8;2203032857000;1317;1.0;1.0;2306.7;1.3;1.8;0.0;2203037585000;1288;1.0;1.0;2476.8;1.3;1.8;0.0
15h21m30s;48.41937;-4.46935;1002.7;18.8;1021;1575;1015;;;;79.85;15.9;2204074354000;1317;1.0;1.0;2298.2;1.3;1.8;0.0;2204079078000;1288;1.0;1.0;2465.3;1.3;1.8;0.0
15h21m31s;48.41936;-4.46935;1002.6;18.8;1017;1568;1010;;;;79.85;16.9;2205157508000;1332;1.0;1.0;2282.0;1.3;1.8;0.0;2205162226000;1303;1.0;1.0;2450.7;1.3;1.8;0.0
15h21m32s;48.41936;-4.46935;1002.3;18.8;1013;1561;1007;;;;79.85;18.0;2206199005000;1347;1.0;1.0;2272.7;1.3;1.8;0.0;2206203716000;1303;1.0;1.0;2441.9;1.3;1.8;0.0
15h21m33s;48.41936;-4.46936;1002.7;18.8;1010;1554;1003;;;;82.05;19.0;2207240504000;1347;1.0;1.0;2259.0;1.3;1.8;0.0;2207245207000;1303;1.0;1.0;2428.3;1.3;1.8;0.0
15h21m33s;48.41936;-4.46936;1002.5;18.9;1008;1554;1001;;;;81.50;19.1;2207365484000;1347;1.0;1.0;2256.8;1.3;1.8;0.0;2207370188000;1303;1.0;1.0;2428.4;1.3;1.8;0.0
15h21m34s;48.41936;-4.46936;1003.2;18.8;1004;1550;997;;;;82.05;20.2;2208406980000;1347;1.0;1.0;2248.4;1.3;1.8;0.0;2208411676000;1303;1.0;1.0;2419.6;1.3;1.8;0.0
15h21m35s;48.41936;-4.46935;1002.7;18.8;1000;1541;994;;;;81.50;21.2;2209448478000;1347;1.0;1.0;2240.5;1.3;1.8;0.0;2209494826000;1303;1.0;1.0;2408.6;1.3;1.8;0.0
15h21m36s;48.41936;-4.46934;1002.6;18.8;995;1534;990;;;;81.50;22.3;2210531634000;1362;1.0;1.0;2229.4;1.3;1.8;0.0;2210536316000;1317;1.0;1.0;2397.5;1.3;1.8;0.0
15h21m37s;48.41935;-4.46935;1002.7;18.8;991;1529;985;;;;81.50;23.3;2211573133000;1362;1.0;1.0;2213.8;1.3;1.8;0.0;2211577809000;1332;1.0;1.0;2381.9;1.3;1.8;0.0
15h21m38s;48.41935;-4.46935;1002.7;18.8;986;1520;981;;;;83.15;24.4;2212614630000;1377;1.0;1.0;2200.0;1.3;1.8;0.0;2212619300000;1332;1.0;1.0;2376.4;1.3;1.8;0.0
15h21m39s;48.41935;-4.46935;1002.4;18.8;980;1509;975;;;;82.60;25.4;2213656129000;1377;1.0;1.0;2209.4;1.3;1.8;0.0;2213660790000;1332;1.0;1.0;2376.8;1.3;1.8;0.0
15h21m41s;48.41936;-4.46935;1002.8;18.9;961;1485;962;;;;82.60;26.5;2214697623000;1377;1.0;1.0;2203.8;1.3;1.8;0.0;2214702282000;1332;1.0;1.0;2369.2;1.3;1.8;0.0
15h21m42s;48.41937;-4.46935;1002.7;18.9;962;1480;960;;;;82.60;27.5;2215739122000;1377;1.0;1.0;2195.5;1.3;1.8;0.0;2215785430000;1332;1.0;1.0;2361.1;1.3;1.8;0.0
15h21m43s;48.41937;-4.46935;1002.4;18.9;1334;1999;1181;;;;83.15;28.6;2216822279000;1229;1.0;1.0;3009.7;1.3;1.8;0.0;2216826924000;1080;1.0;1.0;3294.9;1.3;1.8;0.0
15h21m43s;48.41937;-4.46935;1002.2;18.9;1487;2071;1274;;;;83.70;29.2;2217405519000;947;1.0;1.0;3045.4;1.1;1.8;0.0;2217410157000;858;1.0;1.0;3457.7;1.1;1.8;0.0
15h21m44s;48.41937;-4.46935;1002.5;18.9;1448;2258;1403;;;;82.60;30.2;2218447016000;992;1.0;1.0;2981.7;1.1;1.8;0.0;2218451650000;888;1.0;1.0;3283.6;1.1;1.8;0.0
15h21m45s;48.41937;-4.46935;1002.5;18.9;1141;1769;1207;;;;83.70;31.3;2219488514000;1243;1.0;1.0;2479.8;1.1;1.8;0.0;2219534800000;1155;1.0;1.0;2928.4;1.1;1.8;0.0
15h21m46s;48.41938;-4.46934;1002.6;18.9;1220;1964;1233;;;;82.05;32.3;2220571672000;1125;1.0;1.0;2463.7;1.1;1.8;0.0;2220576302000;1021;1.0;1.0;2743.9;1.1;1.8;0.0
15h21m47s;48.41939;-4.46933;1002.7;18.9;1244;1964;1235;;;;84.25;33.4;2221613168000;1243;1.0;1.0;2608.5;1.1;1.8;0.0;2221617783000;1140;1.0;1.0;2865.1;1.1;1.8;0.0
15h21m48s;48.41940;-4.46933;1002.6;18.9;1120;1757;1159;;;;84.25;34.4;2222654667000;1421;1.0;1.0;2251.6;1.1;1.8;0.0;2222659275000;1303;1.0;1.0;2480.1;1.1;1.8;0.0
15h21m50s;48.41940;-4.46935;1003.0;18.9;1012;1635;1058;;;;83.15;35.5;2223696168000;1525;1.0;1.0;2148.9;1.1;1.8;0.0;2223700766000;1362;1.0;1.0;2350.9;1.1;1.8;0.0
15h21m51s;48.41940;-4.46935;1002.8;18.9;1005;1600;1042;;;;82.60;36.5;2224779331000;1525;1.0;1.0;2146.6;1.1;1.8;0.0;2224783915000;1362;1.0;1.0;2342.4;1.1;1.8;0.0
15h21m52s;48.41941;-4.46935;1002.5;18.9;988;1573;1027;;;;83.15;37.6;2225820820000;1540;1.0;1.0;2122.0;1.1;1.8;0.0;2225825406000;1362;1.0;1.0;2306.7;1.1;1.8;0.0
15h21m53s;48.41941;-4.46935;1002.8;18.9;1040;1677;1088;;;;82.60;38.6;2226862319000;1466;1.0;1.0;2123.6;1.1;1.8;0.0;2226866901000;1347;1.0;1.0;2346.1;1.1;1.8;0.0
15h21m53s;48.41941;-4.46935;1002.6;18.9;1040;1677;1113;;;;83.70;38.8;2226987299000;1466;1.0;1.0;2204.1;1.1;1.8;0.0;2226991884000;1347;1.0;1.0;2456.5;1.1;1.8;0.0
15h21m54s;48.41940;-4.46935;1002.9;18.9;1313;1798;1199;;;;83.15;39.8;2228028800000;1184;1.0;1.0;2299.8;1.1;1.8;0.0;2228075031000;1110;1.0;1.0;2498.6;1.1;1.8;0.0
15h21m55s;48.41940;-4.46935;1024.1;18.9;205;717;656;;;;84.25;40.9;2229111956000;5317;1.0;1.0;463.7;1.1;1.8;0.0;2229116521000;7051;1.0;1.0;527.3;1.1;1.8;0.0
15h21m56s;48.41940;-4.46935;1039.7;18.7;174;695;633;;;;83.70;41.9;2230153452000;9125;1.0;1.0;448.4;1.1;1.8;0.0;2230158013000;6266;1.0;1.0;472.6;1.1;1.8;0.0
15h21m57s;48.41940;-4.46935;1045.1;18.6;145;667;648;;;;84.25;43.0;2231194952000;9999;1.2;1.0;434.4;1.1;1.8;0.0;2231199503000;8636;1.0;1.0;511.1;1.1;1.8;0.0
15h21m58s;48.41941;-4.46936;1068.6;18.5;130;651;648;;;;84.25;44.0;2232236449000;9999;1.3;1.0;438.1;1.1;1.8;0.0;2232240997000;9999;1.3;1.0;452.4;1.1;1.8;0.0
15h21m59s;48.41942;-4.46939;1089.2;18.4;130;652;647;;;;84.25;45.1;2233319609000;9999;1.2;1.0;447.4;1.1;1.8;0.0;2233324147000;9999;1.2;1.0;463.2;1.1;1.8;0.0
15h22m00s;48.41934;-4.46947;1097.9;18.3;134;658;647;;;;83.15;46.1;2234361106000;9999;1.1;1.0;450.3;1.1;1.8;0.0;2234365642000;9999;1.1;1.0;465.2;1.1;1.8;0.0
15h22m01s;48.41929;-4.46952;1105.7;18.3;125;646;643;;;;83.70;47.2;2235402606000;9999;1.1;1.0;443.6;1.1;1.8;0.0;2235407133000;9999;1.1;1.0;456.4;1.1;1.8;0.0
15h22m02s;48.41925;-4.46957;1116.3;18.2;124;645;641;;;;83.15;48.2;2236444102000;9999;1.1;1.0;443.8;1.1;1.8;0.0;2236490282000;9999;1.2;1.0;456.3;1.1;1.8;0.0
15h22m07s;;;1132.7;18.0;117;633;632;;;;83.70;53.3;2241568289000;9999;1.1;1.0;468.6;7.9;1.2;0.0;2241572767000;9999;1.1;1.0;482.0;7.9;1.2;0.0
15h22m08s;;;1134.6;18.0;118;635;631;;;;83.15;54.4;2242609774000;9999;1.2;1.0;462.2;7.9;1.2;0.0;2242614257000;9999;1.2;1.0;477.1;7.9;1.2;0.0
15h22m09s;;;1133.8;17.9;119;634;630;;;;83.70;55.4;2243651273000;9999;1.1;1.0;463.5;7.9;1.2;0.0;2243655750000;9999;1.1;1.0;478.3;7.9;1.2;0.0
15h22m10s;;;1134.5;17.9;116;626;625;;;;82.60;56.5;2244692772000;9999;1.1;1.0;467.8;7.9;1.2;0.0;2244697242000;9999;1.1;1.0;481.4;7.9;1.2;0.0
15h22m12s;;;1141.0;17.9;116;629;624;;;;83.70;57.5;2245775927000;9999;1.1;1.0;466.2;7.9;1.2;0.0;2245780390000;9999;1.1;1.0;479.0;7.9;1.2;0.0
15h22m13s;;;1149.0;17.9;115;629;626;;;;84.25;58.6;2246817426000;9999;1.1;1.0;471.7;7.9;1.2;0.0;2246821883000;9999;1.1;1.0;481.2;7.9;1.2;0.0
15h22m14s;;;1149.0;17.9;112;624;622;;;;84.25;59.6;2247858926000;9999;1.1;1.0;475.0;7.9;1.2;0.0;2247863377000;9999;1.1;1.0;483.5;7.9;1.2;0.0
15h22m15s;;;1149.0;17.8;119;630;630;;;;82.60;60.7;2248900424000;9999;1.1;1.0;463.2;7.9;1.2;0.0;2248904869000;9999;1.1;1.0;473.8;7.9;1.2;0.0
15h22m16s;;;1151.3;17.8;122;642;633;;;;84.25;61.7;2249941922000;9999;1.2;1.0;450.1;7.9;1.2;0.0;2249946359000;9999;1.2;1.0;461.5;7.9;1.2;0.0
15h22m17s;;;1152.2;17.8;114;626;623;;;;84.25;62.8;2250983419000;9999;1.1;1.0;457.9;7.9;1.2;0.0;2251029512000;9999;1.1;1.0;467.9;7.9;1.2;0.0
15h22m22s;;;1157.7;17.8;118;622;617;;;;84.25;67.9;2256107595000;9999;1.2;1.0;439.7;7.9;1.1;0.0;2256111995000;9999;1.2;1.0;455.4;7.9;1.1;0.0
15h22m23s;;;1158.3;17.8;118;629;617;;;;83.15;68.9;2257149094000;9999;1.2;1.0;440.1;7.9;1.1;0.0;2257153485000;9999;1.2;1.0;455.9;7.9;1.1;0.0
15h22m24s;;;1158.7;17.8;118;631;620;;;;83.70;70.0;2258190592000;9999;1.2;1.0;444.8;7.9;1.1;0.0;2258194977000;9999;1.2;1.0;453.5;7.9;1.1;0.0
15h22m25s;;;1158.4;17.8;117;629;622;;;;83.70;71.0;2259273750000;9999;1.2;1.0;450.6;7.9;1.1;0.0;2259278129000;9999;1.2;1.0;459.5;7.9;1.1;0.0
15h22m26s;;;1159.4;17.8;118;634;620;;;;83.70;72.1;2260315252000;9999;1.2;1.0;442.6;7.9;1.1;0.0;2260319626000;9999;1.2;1.0;451.6;7.9;1.1;0.0
15h22m27s;;;1159.9;17.8;118;634;618;;;;84.80;73.1;2261356748000;9999;1.2;1.0;440.3;7.9;1.1;0.0;2261361113000;9999;1.2;1.0;455.8;7.9;1.1;0.0
15h22m28s;;;1170.2;17.7;116;638;626;;;;83.70;74.2;2262398246000;9999;1.1;1.0;474.6;7.9;1.1;0.0;2262402607000;9999;1.1;1.0;478.6;7.9;1.1;0.0
15h22m29s;;;1175.1;17.7;121;642;622;;;;83.70;75.2;2263439755000;9999;1.1;1.0;459.4;7.9;1.1;0.0;2263485760000;9999;1.1;1.0;483.6;7.9;1.1;0.0
15h22m30s;;;1177.6;17.7;122;634;606;;;;83.15;76.3;2264522905000;9999;1.1;1.0;463.1;7.9;1.1;0.0;2264527250000;9999;1.0;1.0;490.4;7.9;1.1;0.0
15h22m31s;;;1177.5;17.7;119;633;614;;;;84.80;77.3;2265564411000;9999;1.2;1.0;448.5;7.9;1.1;0.0;2265568744000;9999;1.1;1.0;469.4;7.9;1.1;0.0
15h22m36s;;;1181.2;17.7;118;639;627;;;;83.70;82.4;2270646916000;9999;1.1;1.0;461.1;7.9;1.2;0.0;2270651225000;9999;1.2;1.0;463.2;7.9;1.2;0.0
15h22m37s;;;1181.6;17.7;118;639;626;;;;84.25;83.5;2271688414000;9999;1.1;1.0;459.4;7.9;1.2;0.0;2271692717000;9999;1.2;1.0;458.6;7.9;1.2;0.0
15h22m39s;;;1162.0;17.7;121;635;618;;;;83.70;84.5;2272729913000;9999;1.2;1.0;446.7;7.9;1.2;0.0;2272734213000;9999;1.1;1.0;464.4;7.9;1.2;0.0
15h22m40s;;;1156.8;17.7;124;640;614;;;;85.35;85.6;2273771412000;9999;1.2;1.0;436.6;7.9;1.2;0.0;2273817361000;9999;1.1;1.0;453.6;7.9;1.2;0.0
15h22m41s;;;1156.9;17.6;122;634;611;;;;83.70;86.6;2274854568000;9999;1.1;1.0;427.4;7.9;1.2;0.0;2274858859000;9999;1.1;1.0;438.2;7.9;1.2;0.0
15h22m42s;;;1157.3;17.6;120;632;605;;;;83.15;87.7;2275896069000;9999;1.1;1.0;431.0;7.9;1.2;0.0;2275900348000;9999;1.1;1.0;443.2;7.9;1.2;0.0
15h22m43s;;;1156.9;17.6;120;631;611;;;;83.70;88.7;2276937570000;9999;1.1;1.0;448.4;7.9;1.2;0.0;2276941842000;9999;1.1;1.0;458.6;7.9;1.2;0.0
15h22m44s;;;1156.3;17.6;120;641;621;;;;84.25;89.8;2277979067000;9999;1.2;1.0;454.1;7.9;1.2;0.0;2277983332000;9999;1.2;1.0;461.9;7.9;1.2;0.0
15h22m45s;;;1156.6;17.6;120;642;626;;;;83.15;90.8;2279062228000;9999;1.2;1.0;464.4;7.9;1.2;0.0;2279066483000;9999;1.2;1.0;471.5;7.9;1.2;0.0
15h22m46s;;;1157.0;17.6;121;644;630;;;;83.15;91.9;2280103725000;9999;1.2;1.0;471.4;7.9;1.2;0.0;2280107976000;9999;1.2;1.0;481.5;7.9;1.2;0.0
15h22m51s;;;1157.2;17.6;123;668;661;;;;84.25;96.9;2285186238000;9999;1.1;1.0;484.8;7.9;1.1;0.0;2285190459000;9999;1.2;1.0;493.4;7.9;1.1;0.0
15h22m52s;;;1157.4;17.6;124;671;664;;;;82.05;98.0;2286227739000;9999;1.1;1.0;489.3;7.9;1.1;0.0;2286231951000;9999;1.2;1.0;498.5;7.9;1.1;0.0
15h22m53s;;;1157.0;17.6;124;676;668;;;;83.70;99.0;2287269236000;9999;1.1;1.0;488.9;7.9;1.1;0.0;2287315103000;9999;1.2;1.0;497.9;7.9;1.1;0.0
15h22m54s;;;1157.0;17.6;125;679;670;;;;83.70;100.1;2288352395000;9999;1.1;1.0;490.9;7.9;1.1;0.0;2288356597000;9999;1.2;1.0;499.6;7.9;1.1;0.0
15h22m55s;;;1157.3;17.7;126;682;674;;;;85.35;101.2;2289393894000;9999;1.1;1.0;492.6;7.9;1.1;0.0;2289398090000;9999;1.1;1.0;501.3;7.9;1.1;0.0
15h22m56s;;;1156.8;17.7;126;686;678;;;;83.15;102.2;2290435393000;9999;1.1;1.0;496.0;7.9;1.1;0.0;2290439579000;9999;1.1;1.0;503.5;7.9;1.1;0.0
15h22m57s;;;1156.9;17.7;127;689;679;;;;84.80;103.3;2291476890000;9999;1.1;1.0;500.2;7.9;1.1;0.0;2291522733000;9999;1.1;1.0;506.1;7.9;1.1;0.0
15h22m58s;;;1157.3;17.7;128;693;682;;;;84.80;104.3;2292560048000;9999;1.1;1.0;500.2;7.9;1.1;0.0;2292564225000;9999;1.1;1.0;509.2;7.9;1.1;0.0
15h22m59s;;;1157.8;17.7;127;693;683;;;;84.25;105.4;2293601547000;9999;1.1;1.0;504.4;7.9;1.1;0.0;2293605718000;9999;1.1;1.0;512.7;7.9;1.1;0.0
15h23m00s;;;1157.4;17.7;128;697;687;;;;84.80;106.4;2294643048000;9999;1.1;1.0;505.5;7.9;1.1;0.0;2294647212000;9999;1.1;1.0;514.4;7.9;1.1;0.0
15h23m06s;;;1157.7;17.7;131;715;707;;;;84.80;111.5;2299767222000;9999;1.1;1.0;517.0;7.9;1.1;0.0;2299771356000;9999;1.1;1.0;526.0;7.9;1.1;0.0
15h23m07s;;;1157.6;17.7;132;720;708;;;;83.15;112.6;2300808720000;9999;1.1;1.0;519.4;7.9;1.1;0.0;2300812846000;9999;1.1;1.0;528.4;7.9;1.1;0.0
15h23m08s;;;1157.0;17.7;132;722;712;;;;84.80;113.6;2301850218000;9999;1.1;1.0;521.9;7.9;1.1;0.0;2301854336000;9999;1.1;1.0;531.4;7.9;1.1;0.0
15h23m09s;;;1157.7;17.7;133;727;714;;;;84.80;114.7;2302891721000;9999;1.1;1.0;524.6;7.9;1.1;0.0;2302895830000;9999;1.1;1.0;533.9;7.9;1.1;0.0
15h23m10s;;;1157.4;17.7;134;729;719;;;;83.15;115.7;2303974875000;9999;1.1;1.0;530.3;7.9;1.1;0.0;2303978983000;9999;1.1;1.0;539.8;7.9;1.1;0.0
15h23m11s;;;1157.5;17.7;135;732;721;;;;84.25;116.8;2305016374000;9999;1.0;1.0;530.0;7.9;1.1;0.0;2305020476000;9999;1.1;1.0;539.4;7.9;1.1;0.0
15h23m12s;;;1157.4;17.7;135;737;726;;;;84.25;117.8;2306057875000;9999;1.0;1.0;533.4;7.9;1.1;0.0;2306061966000;9999;1.1;1.0;541.7;7.9;1.1;0.0
15h23m13s;;;1157.6;17.7;135;739;728;;;;85.35;118.9;2307099375000;9999;1.0;1.0;535.3;7.9;1.1;0.0;2307103462000;9999;1.1;1.0;544.9;7.9;1.1;0.0
15h23m14s;;;1157.5;17.7;136;733;720;;;;84.25;119.9;2308140872000;9999;1.0;1.0;537.6;7.9;1.1;0.0;2308144951000;9999;1.0;1.0;547.5;7.9;1.1;0.0
15h23m15s;;;1157.5;17.7;137;738;719;;;;85.35;121.0;2309182372000;9999;1.0;1.0;540.3;7.9;1.1;0.0;2309186447000;9999;1.0;1.0;545.9;7.9;1.1;0.0
15h23m20s;;;1158.4;17.7;145;760;730;;;;83.70;126.1;2314306545000;7332;1.0;1.0;544.7;7.9;1.2;0.0;2314310587000;6710;1.0;1.0;549.3;7.9;1.2;0.0
15h23m21s;;;1158.2;17.7;144;764;738;;;;84.25;127.1;2315348046000;8577;1.0;1.0;547.7;7.9;1.2;0.0;2315352083000;8088;1.0;1.0;553.1;7.9;1.2;0.0
15h23m22s;;;1158.6;17.8;144;771;748;;;;84.80;128.2;2316389545000;8858;1.0;1.0;556.0;7.9;1.2;0.0;2316393573000;8932;1.0;1.0;567.1;7.9;1.2;0.0
15h23m23s;;;1159.0;17.8;145;779;757;;;;85.90;129.2;2317431043000;9466;1.0;1.0;562.3;7.9;1.2;0.0;2317435065000;9451;1.0;1.0;571.7;7.9;1.2;0.0
15h23m24s;;;1167.3;17.8;146;787;769;;;;84.25;130.2;2318472541000;9466;1.0;1.0;573.4;7.9;1.2;0.0;2318476559000;9436;1.0;1.0;583.4;7.9;1.2;0.0
15h23m25s;;;1170.0;17.8;144;799;781;;;;83.15;131.3;2319555702000;8725;1.0;1.0;592.6;7.9;1.2;0.0;2319559711000;8992;1.0;1.0;595.3;7.9;1.2;0.0
15h23m26s;;;1170.8;17.7;147;807;788;;;;84.80;132.4;2320597198000;8992;1.0;1.0;592.9;7.9;1.2;0.0;2320601203000;9080;1.0;1.0;598.6;7.9;1.2;0.0
15h23m27s;;;1171.2;17.7;149;820;797;;;;84.80;133.4;2321638696000;8992;1.0;1.0;601.3;7.9;1.2;0.0;2321642695000;9080;1.0;1.0;608.7;7.9;1.2;0.0
15h23m28s;;;1171.5;17.7;152;828;808;;;;84.25;134.5;2322680197000;8799;1.0;1.0;615.4;7.9;1.2;0.0;2322684189000;8873;1.0;1.0;622.1;7.9;1.2;0.0
15h23m30s;;;1171.3;17.7;154;844;827;;;;83.70;135.5;2323721696000;8621;1.0;1.0;626.5;7.9;1.2;0.0;2323725682000;8695;1.0;1.0;639.2;7.9;1.2;0.0
15h23m35s;;;1171.4;17.7;177;960;932;;;;85.35;140.6;2328845871000;7362;1.0;1.0;721.0;7.9;1.2;0.0;2328849824000;7229;1.0;1.0;728.1;7.9;1.2;0.0
15h23m36s;;;1171.2;17.7;179;960;932;;;;84.25;141.7;2329887369000;7080;1.0;1.0;720.6;7.9;1.2;0.0;2329932978000;6784;1.0;1.0;726.4;7.9;1.2;0.0
15h23m37s;;;1171.6;17.7;176;948;920;;;;84.25;142.7;2330970529000;7006;1.0;1.0;709.1;7.9;1.2;0.0;2330974470000;6858;1.0;1.0;716.6;7.9;1.2;0.0
15h23m38s;;;1171.4;17.7;174;940;912;;;;83.70;143.8;2332012035000;7140;1.0;1.0;702.3;7.9;1.2;0.0;2332015963000;6977;1.0;1.0;705.9;7.9;1.2;0.0
15h23m39s;;;1171.5;17.7;177;954;930;;;;84.80;144.8;2333095187000;7140;1.0;1.0;715.0;7.9;1.2;0.0;2333099114000;6903;1.0;1.0;719.2;7.9;1.2;0.0
